UIO Utviklingsstudier,26.9,47.8,47.4,45.7,44.8,44.6,44.1
UIO Kultur og kommunikasjon,37.7,48.4,48.6,48.8,47.6,45.7,46.8
UIO Kunsthistorie: årsstudium,14.6,46.9,46.8,46.3,44.3,38.1,44.2
UIO Rettsvitenskap (jus): start høst,21.2,52.0,51.5,52.3,52.7,52.6,53.8
UIO Historie,13.8,38.2,36.2,32.9,29.6,29.6,31.7
UIO Medievitenskap,23.9,44.6,44.3,44.7,42.3,40.8,41.7
UIO Rettsvitenskap (jus): start vår,18.8,49.6,49.3,49.6,50.0,50.3,51.2
UIO Pedagogikk,20.3,35.8,36.2,34.7,33.5,35.6,35.3
UIO Samfunnsgeografi,19.5,42.1,41.8,41.1,40.8,38.1,39.3
UIO Spesialpedagogikk,1lle,33.7,36.3,34.1,34.1,35.5,36.2
UIO Offentlig administrasjon og ledelse,43.4,45.0,46.4,46.2,44.5,44.8,44.8
UIO Odontologi,36.8,56.0,54.4,54.3,54.4,55.2,55.7
UIO Samfunnsøkonomisk analyse,10.1,48.7,49.2,45.7,44.3,44.0,44.3
UIO Internasjonale studier,54.5,54.0,54.4,53.8,52.1,52.4,51.7
UIO Kriminologi,86.7,46.6,47.5,46.7,47.7,46.4,47.6
UIO Psykologi,86.4,47.0,47.5,47.3,47.2,47.2,47.6
UIO Demokrati og rettigheter i informasjonssamfunnet,88.8,42.3,41.8,41.8,41.6,41.5,42.1
UIO Sosialantropologi,29.6,43.9,42.5,41.3,38.9,37.7,39.2
UIO Lektorprogrammet: kultur og samfunnsfag,24.1,46.0,45.8,45.2,46.2,47.2,47.7
UIO Psykologi profesjon: start høst,16.4,56.4,56.1,55.6,56.4,55.8,56.8
UIO Psykologi profesjon: start vår,74.6,55.1,55.3,53.8,54.4,54.5,55.2
UIO Samfunnsøkonomi,45.1,46.9,46.8,46.5,47.1,46.0,47.7
UIO Tannpleie,14.7,42.6,42.7,43.7,44.8,43.6,44.3
UIO Engelsk: årsstudium,38.5,49.0,47.9,47.7,45.4,41.0,41.5
UIO Informatikk: design: bruk og interaksjon,74.3,38.2,37.6,38.3,37.5,38.0,40.4
UIO Psykologi: årsstudium,90.5,50.7,50.7,50.0,49.7,49.2,50.0
UIO Farmasi,59.1,47.3,46.9,47.2,47.3,48.2,51.0
UIO Helseledelse og helseøkonomi,18.0,40.0,38.5,38.3,38.8,37.8,39.8
UIO Sosiologi,41.2,44.0,43.7,43.0,42.1,42.4,43.3
UIO Tverrfaglige kjønnsstudier: årsstudium,50.0,41.9,42.6,41.1,43.4,35.8,43.5
UIO Statsvitenskap,55.8,47.4,47.6,47.4,46.7,46.2,47.5
